2021-03-21/17:04:09		Start of Validation on files for prediction!!
2021-03-21/17:04:10		Raw Data Validation Complete!!
2021-03-21/17:04:10		Creating Training_Database and tables on the basis of given schema!!!
2021-03-21/17:04:10		Table creation Completed!!
2021-03-21/17:04:10		Insertion of Data into Table started!!!!
2021-03-21/17:05:20		Insertion in Table completed!!!
2021-03-21/17:05:20		Deleting Good Data Folder!!!
2021-03-21/17:05:20		Good_Data folder deleted!!!
2021-03-21/17:05:20		Moving bad files to Archive and deleting Bad_Data folder!!!
2021-03-21/17:05:20		Bad files moved to archive!! Bad folder Deleted!!
2021-03-21/17:05:20		Validation Operation completed!!
2021-03-21/17:05:20		Extracting csv file from table
